time,ID,count,protocol
1670371251,00,1229,locomotor
1670371264,00,1230,locomotor
1670371277,00,1231,locomotor
1670371283,00,1232,locomotor
1670371323,00,1233,locomotor
1670371332,00,1234,locomotor
1670371338,00,1235,locomotor
1670371385,00,1236,locomotor
1670371398,00,1237,locomotor
1670371405,00,1238,locomotor
1670371411,00,1239,locomotor
1670371428,00,1240,locomotor
1670371434,00,1241,locomotor
1670371446,00,1242,locomotor
1670371458,00,1243,locomotor
1670371464,00,1244,locomotor
1670371475,00,1245,locomotor
1670371482,00,1246,locomotor
1670371614,00,1247,locomotor
1670371623,00,1248,locomotor
1670371629,00,1249,locomotor
1670371640,00,1250,locomotor
1670371651,00,1251,locomotor
1670371656,00,1252,locomotor
1670371663,00,1253,locomotor
1670371669,00,1254,locomotor
1670371682,00,1255,locomotor
1670371689,00,1256,locomotor
1670371701,00,1257,locomotor
1670371707,00,1258,locomotor
1670371716,00,1259,locomotor
1670371771,00,1260,locomotor
1670371794,00,1261,locomotor
1670371847,00,1262,locomotor
1670371855,00,1263,locomotor
1670371875,00,1264,locomotor
1670371881,00,1265,locomotor
1670371887,00,1266,locomotor
1670371913,00,1267,locomotor
1670371919,00,1268,locomotor
1670371926,00,1269,locomotor
1670371935,00,1270,locomotor
1670371946,00,1271,locomotor
1670371955,00,1272,locomotor
1670371967,00,1273,locomotor
1670371981,00,1274,locomotor
1670371987,00,1275,locomotor
1670372008,00,1276,locomotor
1670372026,00,1277,locomotor
1670372038,00,1278,locomotor
1670372048,00,1279,locomotor
1670372065,00,1280,locomotor
1670372093,00,1281,locomotor
1670372104,00,1282,locomotor
1670372115,00,1283,locomotor
1670372121,00,1284,locomotor
1670372132,00,1285,locomotor
1670372142,00,1286,locomotor
1670372153,00,1287,locomotor
1670372170,00,1288,locomotor
1670372176,00,1289,locomotor
1670372183,00,1290,locomotor
1670372209,00,1291,locomotor
1670372218,00,1292,locomotor
1670372228,00,1293,locomotor
1670372241,00,1294,locomotor
1670372248,00,1295,locomotor
1670372254,00,1296,locomotor
1670372266,00,1297,locomotor
1670372278,00,1298,locomotor
1670372289,00,1299,locomotor
1670372300,00,1300,locomotor
1670372309,00,1301,locomotor
1670372318,00,1302,locomotor
1670372324,00,1303,locomotor
1670372334,00,1304,locomotor
1670372346,00,1305,locomotor
1670372362,00,1306,locomotor
1670372368,00,1307,locomotor
1670372375,00,1308,locomotor
1670372381,00,1309,locomotor
1670372577,00,1310,locomotor
1670372589,00,1311,locomotor
1670372705,00,1312,locomotor
1670372711,00,1313,locomotor
1670372719,00,1314,locomotor
1670372924,00,1315,locomotor
1670373174,00,1316,locomotor
1670373181,00,1317,locomotor
1670373187,00,1318,locomotor
1670373290,00,1319,locomotor
1670373547,00,1320,locomotor
1670373554,00,1321,locomotor
1670373567,00,1322,locomotor
1670373577,00,1323,locomotor
1670373583,00,1324,locomotor
1670373589,00,1325,locomotor
1670373685,00,1326,locomotor
1670373701,00,1327,locomotor
1670373732,00,1328,locomotor
1670373746,00,1329,locomotor
1670373753,00,1330,locomotor
1670373760,00,1331,locomotor
1670373766,00,1332,locomotor
1670373772,00,1333,locomotor
1670373790,00,1334,locomotor
1670373796,00,1335,locomotor
1670373808,00,1336,locomotor
1670373814,00,1337,locomotor
1670373826,00,1338,locomotor
1670373832,00,1339,locomotor
1670373838,00,1340,locomotor
1670373880,00,1341,locomotor
1670373886,00,1342,locomotor
1670373897,00,1343,locomotor
1670374096,00,1344,locomotor
1670374112,00,1345,locomotor
1670374167,00,1346,locomotor
1670374185,00,1347,locomotor
1670374210,00,1348,locomotor
1670374217,00,1349,locomotor
1670374229,00,1350,locomotor
1670374243,00,1351,locomotor
1670374259,00,1352,locomotor
1670374271,00,1353,locomotor
1670374280,00,1354,locomotor
1670374292,00,1355,locomotor
1670374298,00,1356,locomotor
1670374305,00,1357,locomotor
1670374312,00,1358,locomotor
1670374753,00,1359,locomotor
1670374771,00,1360,locomotor
1670374783,00,1361,locomotor
1670374789,00,1362,locomotor
1670374799,00,1363,locomotor
1670374867,00,1364,locomotor
1670383059,00,1365,locomotor
1670383066,00,1366,locomotor
1670383089,00,1367,locomotor
1670383117,00,1368,locomotor
1670383139,00,1369,locomotor
1670383145,00,1370,locomotor
1670383167,00,1371,locomotor
1670383174,00,1372,locomotor
1670383220,00,1373,locomotor
1670383233,00,1374,locomotor
1670383239,00,1375,locomotor
1670383326,00,1376,locomotor
1670383332,00,1377,locomotor
1670383351,00,1378,locomotor
1670383371,00,1379,locomotor
1670383382,00,1380,locomotor
1670383396,00,1381,locomotor
1670383407,00,1382,locomotor
1670383419,00,1383,locomotor
1670383428,00,1384,locomotor
1670383436,00,1385,locomotor
1670383450,00,1386,locomotor
1670383456,00,1387,locomotor
1670383464,00,1388,locomotor
1670383504,00,1389,locomotor
1670383518,00,1390,locomotor
1670383529,00,1391,locomotor
1670383541,00,1392,locomotor
1670383553,00,1393,locomotor
1670383568,00,1394,locomotor
1670383577,00,1395,locomotor
1670383583,00,1396,locomotor
1670383589,00,1397,locomotor
1670383595,00,1398,locomotor
1670383601,00,1399,locomotor
1670383610,00,1400,locomotor
1670383621,00,1401,locomotor
1670383632,00,1402,locomotor
1670383639,00,1403,locomotor
1670383650,00,1404,locomotor
